FromEdgeID;ToEdgeID;RunTime
23044566;52158843#1;1015
23044566;-857983579;1082
23044566;243102981;1564
23044566;806903754;1019
23044566;385888165#4;1155
23044566;-31002335#0;1230
23044566;138515677#4;1123
23044566;256245721;301
23044566;710761406;1112
23044566;30143978#1;662
23044566;-858123638#0;1171
23044566;4463221#1;623
23044566;451621867#1;807
23044566;-451621866;854
23044566;4392634#2;250
23044566;MA080;1339
23044566;-450086133;1331
23044566;32197350#0;1259
23044566;139806486#2;444
23044566;-79701272#0;1184
23044566;30709383;1242
23044566;151043332#5;731
23044566;332306828#3;920
23044566;4442099#1;759
23044566;450189363;1462
4368690;E19.203;715
4368690;671403224#1;466
4368690;-140336718#0;891
4368690;30276434#1;401
4368690;914393586;591
4368690;4517104;251
4368690;-25418282;252
4368690;718428117#1;405
4368690;207716520;441
4368690;23044566;749
4368690;4368690;22
4368690;451458155;1044
4368690;375861848;625
4368690;-420483060#0;976
4368690;24041366;683
4368690;455953261#1;976
4368690;111251392;494
4368690;-333626093;633
4368690;4389557#1;450
4368690;42813669;1349
4368690;24735700;1246
4368690;456213456;688
4368690;231262268#0;1205
4368690;27606891#2;652
4368690;-10947989;1504
4368690;98410013#0;1508
4368690;172282359;375
4368690;148288810#2;688
4368690;76402289;413
4368690;461910870#2;585
4368690;30157285;310
4368690;24160797;568
4368690;4616321#2;264
4368690;-259536422;1283
4368690;-39496182#0;1229
4368690;MA047;819
4368690;-669433184;1052
4368690;4802807#2;954
4368690;39473294;1270
4368690;41976565;1099
4368690;-671403217;517
4368690;-165465028#0;545
4368690;4486596#2;206
4368690;24673480;254
4368690;30699893;183
4368690;-469999015;667
4368690;469999020;313
4368690;120395207#1;641
4368690;30157290;322
4368690;469999032;428
4368690;30157292#1;298
4368690;-469999029;486
4368690;25369033#2;190
4368690;15926759;437
4368690;4594894#4;801
4368690;57936173#3;774
4368690;223737429;1248
4368690;-461331989#0;1139
4368690;28819804;839
4368690;-MA068;892
4368690;23109073#1;329
4368690;52158843#1;468
4368690;-857983579;438
4368690;243102981;908
4368690;806903754;429
4368690;385888165#4;608
4368690;-31002335#0;785
4368690;138515677#4;727
4368690;256245721;599
4368690;710761406;436
4368690;30143978#1;240
4368690;-858123638#0;966
4368690;4463221#1;259
4368690;451621867#1;750
4368690;-451621866;797
4368690;4392634#2;660
4368690;MA080;894
4368690;-450086133;787
4368690;32197350#0;716
4368690;139806486#2;428
4368690;-79701272#0;978
4368690;30709383;1036
4368690;151043332#5;449
4368690;332306828#3;376
4368690;4442099#1;119
4368690;450189363;921
451458155;E19.203;465
451458155;671403224#1;713
451458155;-140336718#0;1654
451458155;30276434#1;695
451458155;914393586;646
451458155;4517104;883
451458155;-25418282;871
451458155;718428117#1;1152
451458155;207716520;1187
451458155;23044566;1512
451458155;4368690;953
451458155;451458155;22
451458155;375861848;553
451458155;-420483060#0;109
451458155;24041366;382
451458155;455953261#1;314
451458155;111251392;744
451458155;-333626093;687
451458155;4389557#1;729
451458155;42813669;629
451458155;24735700;871
451458155;456213456;501
451458155;231262268#0;580
451458155;27606891#2;405
451458155;-10947989;913
451458155;98410013#0;918
451458155;172282359;1022
451458155;148288810#2;1509
451458155;76402289;699
451458155;461910870#2;1423
451458155;30157285;1145
451458155;24160797;1389
451458155;4616321#2;804
451458155;-259536422;1867
451458155;-39496182#0;617
451458155;MA047;444
451458155;-669433184;216
451458155;4802807#2;100
451458155;39473294;895
451458155;41976565;320
451458155;-671403217;718
451458155;-165465028#0;701
451458155;4486596#2;952
451458155;24673480;1004
451458155;30699893;1005
451458155;-469999015;1457
451458155;469999020;1147
451458155;120395207#1;1452
451458155;30157290;1156
451458155;469999032;1174
451458155;30157292#1;1133
451458155;-469999029;1233
451458155;25369033#2;883
451458155;15926759;832
451458155;4594894#4;279
451458155;57936173#3;328
451458155;223737429;873
451458155;-461331989#0;764
451458155;28819804;369
451458155;-MA068;1520
451458155;23109073#1;1105
451458155;52158843#1;1001
451458155;-857983579;746
451458155;243102981;586
451458155;806903754;684
451458155;385888165#4;1097
451458155;-31002335#0;1556
451458155;138515677#4;1499
451458155;256245721;1362
451458155;710761406;892
451458155;30143978#1;1082
451458155;-858123638#0;1777
451458155;4463221#1;1101
451458155;451621867#1;1588
451458155;-451621866;1635
451458155;4392634#2;1373
451458155;MA080;1522
451458155;-450086133;1160
451458155;32197350#0;1102
451458155;139806486#2;1175
451458155;-79701272#0;1790
451458155;30709383;1848
451458155;151043332#5;1291
451458155;332306828#3;843
451458155;4442099#1;1008
451458155;450189363;1220
375861848;E19.203;207
375861848;671403224#1;225
375861848;-140336718#0;1349
375861848;30276434#1;206
375861848;914393586;475
375861848;4517104;394
375861848;-25418282;383
375861848;718428117#1;847
